13;-1.6178;54.9783;5347;4132
13;54.9783;-1.6178;4059;2591
5;54.9783;-1.6178;15;10
3;54.9783;-1.6178;3;2
3;54.9783;-1.6178;3;2
13;54.9783;-1.6178;4059;2591
3;54.9783;-1.6178;3;2
23;54.9783;-1.6178;4156606;2654180
2;54.9783;-1.6178;1;1
20;54.9783;-1.6178;519575;331772
2;54.9783;-1.6178;1;1
18;54.9783;-1.6178;129893;82943
17;54.9783;-1.6178;64946;41471
17;64.9783;-1.6178;64946;34128
17;54.9783;-1.6178;64946;41471
16;54.9783;-1.6178;32473;20735
15;54.9783;-1.6178;16236;10367
14;54.9783;-1.6178;8118;5183
14;54.9783;-1.6178;8118;5183
13;54.9783;-1.6178;4059;2591
10;54.9783;-1.6178;507;323
8;54.9783;-1.6178;126;80
6;54.9783;-1.6178;31;20
5;54.9783;-1.6178;15;10
6;54.977702309704;-1.6129254998813;31;20
6;54.977702309704;-1.6129254998813;31;20
6;54.977702309704;-1.6129254998813;31;20
6;54.977702309704;-1.6129254998813;31;20
6;54.977702309704;-1.6129254998813;31;20
6;54.9783;-1.6178;31;20
6;-33.86086655;151.21099854;58;38
6;45.01968384;7.64964056;33;23
6;35.12343216;-106.53327179;13;25
6;54.64347839;-3.54864621;31;20
6;-33.86881256;151.1047821;58;38
6;30.30418968;-97.78237915;14;26
6;33.77400589;-117.92110443;11;25
6;55.61319351;-2.80370188;31;20
6;55.61272049;-2.80266094;31;20
6;-33.79556656;150.99772644;58;38
6;-33.79600906;150.99694824;58;38
6;33.90604401;-84.35808563;17;25
6;50.82196426;4.35726881;32;21
6;53.78279114;-1.54108179;31;20
6;40.34460831;-74.67018127;18;24
6;53.35732651;-2.91627693;31;20
6;-30.71037292;152.92295837;59;37
6;-31.63680458;152.78244019;59;37
6;-32.78361511;151.73490906;58;38
6;-29.70412827;152.93397522;59;37
6;-30.7084465;152.9225769;59;37
6;-30.7107811;152.92323303;59;37
6;-29.70433617;152.93310547;59;37
6;-31.43100739;152.88803101;59;37
6;-32.78374863;151.73466492;58;38
6;-6.20948839;106.81795502;50;33
6;49.18801498;16.60151672;34;21
6;51.06628036;-1.31745219;31;21
6;54.977702309704;-1.6129254998813;31;20
6;54.9783;-1.6178;31;20
6;54.977702309704;-1.6129254998813;31;20
6;54.9783;-1.6178;31;20
16;54.977702309704;-1.6129254998813;32474;20735
16;54.9783;-1.6178;32473;20735
16;43.23022079;-2.84512639;32250;24023
16;34.23094177;-118.46982574;11201;26128
16;45.45354462;28.04964066;37874;23457
16;54.60988617;-1.10008395;32567;20852
16;54.61148453;-1.09307384;32569;20851
16;54.60957718;-1.10179532;32567;20852
16;54.60970688;-1.10106897;32567;20852
16;54.61202621;-1.09078693;32569;20851
16;54.61182022;-1.09157765;32569;20851
16;54.5569458;-1.31318462;32528;20868
16;39.69000244;-105.35848999;13588;24884
16;39.38206863;-105.79504395;13508;24956
16;45.79815674;15.97045517;35675;23368
16;44.0267067;-92.49004364;15930;23823
16;52.53739929;13.43200016;35213;21487
16;44.02669525;-92.49022675;15930;23823
16;48.99224472;21.24305344;36635;22508
16;44.58438492;-92.98002625;15841;23681
16;44.03095627;-92.62650299;15905;23822
16;52.53609848;13.43190002;35213;21488
16;41.19469833;-111.94199371;12389;24524
16;52.53739929;13.43229961;35213;21487
16;48.20456696;16.35671425;35745;22725
16;48.20584869;16.36195755;35746;22725
16;48.77537537;14.98728848;35496;22568
16;48.20478821;16.36211777;35746;22725
16;48.20539093;16.35959053;35746;22725
16;48.20481491;16.36114693;35746;22725
16;48.2853508;16.64686584;35798;22703
16;48.20454025;16.36075974;35746;22725
16;52.53739929;13.43200016;35213;21487
16;48.99224472;21.24305344;36635;22508
16;41.19469833;-111.94199371;12389;24524
16;44.02669525;-92.49022675;15930;23823
16;52.53739929;13.43229961;35213;21487
16;48.20584869;16.36195755;35746;22725
16;48.20456696;16.35671425;35745;22725
16;44.58438492;-92.98002625;15841;23681
16;48.77537537;14.98728848;35496;22568
16;48.20478821;16.36211777;35746;22725
16;44.03095627;-92.62650299;15905;23822
16;48.20539093;16.35959053;35746;22725
16;52.53609848;13.43190002;35213;21488
16;48.20481491;16.36114693;35746;22725
16;48.2853508;16.64686584;35798;22703
16;48.20454025;16.36075974;35746;22725
16;48.20546722;16.35865784;35746;22725
16;48.24240875;16.49175644;35770;22715
16;48.20438385;16.35898972;35746;22725
16;48.20513535;16.35923576;35746;22725
16;48.28591537;16.38061905;35750;22703
16;48.20593643;16.35920525;35746;22725
16;48.2059288;16.36021423;35746;22725
16;48.20467377;16.35785103;35745;22725
16;48.20644379;16.36221695;35746;22724
16;48.20484543;16.36141586;35746;22725
16;48.64505386;15.3007946;35553;22604
16;48.20597458;16.3599205;35746;22725
16;48.20462036;16.35884285;35746;22725
16;48.20446014;16.36022758;35746;22725
16;48.21817398;16.3539238;35745;22721
16;48.20590591;16.36076736;35746;22725
16;48.20453644;16.36106491;35746;22725
16;48.20293045;16.35825348;35745;22725
16;48.20526886;16.36031532;35746;22725
16;48.20506668;16.36006165;35746;22725
16;48.20589066;16.3608799;35746;22725
16;48.20578003;16.36203957;35746;22725
16;48.2022171;16.3610096;35746;22726
16;48.20602417;16.36134529;35746;22725
16;48.20635605;16.36002541;35746;22725
16;48.20245743;16.36111069;35746;22726
16;48.20461655;16.35970306;35746;22725
16;48.20476151;16.36046028;35746;22725
16;48.20448685;16.36090851;35746;22725
16;48.20018387;16.35365868;35745;22726
16;48.30485916;16.38545227;35750;22698
16;48.20598221;16.3588829;35746;22725
